Segment,Start,End,NGS_read_count,ACC_num,Replicate,Cells,Time,Context,Compartment,Resolution,MOI
PB2,1132,1967,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1139,2173,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,113,2080,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1143,1723,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,114,2104,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,115,2143,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,115,2146,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,116,2085,119,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,116,2090,11,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,116,2098,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,116,2116,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,116,2166,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,116,2301,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,117,2130,9,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,117,2135,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,117,2139,6,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,117,2168,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,118,2056,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,118,2128,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1194,1643,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,119,2138,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,119,2161,9,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,119,2205,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,121,2012,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,121,2218,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,122,2004,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,122,2132,25,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,123,2073,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,123,2154,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1246,2008,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,124,2135,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,125,2165,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,126,2017,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,126,2060,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,126,2065,6,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,126,2129,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1279,1956,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,127,2051,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,127,2090,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,127,2137,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,127,2157,14,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,127,2205,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,127,720,10,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,127,777,10,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,128,2127,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,128,2139,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,128,2152,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,128,2195,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,128,2203,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,128,2230,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1293,1632,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,129,1781,7,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,129,2086,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,129,2140,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,130,1782,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,130,2003,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,130,2132,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,130,713,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,131,2090,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,132,2093,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,133,2057,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,133,2126,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,133,2138,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,133,2159,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,133,2188,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,133,2189,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,133,2194,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,134,2091,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,135,2159,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,135,2164,8,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,136,1584,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,136,1692,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,136,2126,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,136,2147,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,137,1595,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,137,1650,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,138,1578,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,138,2040,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,138,612,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,139,1919,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,139,1961,32,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,139,2053,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,140,2142,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,141,2018,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,141,2087,11,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,141,2104,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,141,2180,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,143,2048,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,143,2123,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,143,2127,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,143,2132,12,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,143,2195,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1457,1507,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,145,2008,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,145,2009,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,145,2192,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,146,1960,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,146,2113,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,147,770,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1484,1918,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,148,1168,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,148,1195,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,148,2065,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,148,2137,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,148,2185,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,148,2187,52,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,148,2217,39,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,148,653,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,149,1967,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,150,2116,20,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,150,2147,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,150,2157,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,150,2191,13,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,150,2205,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1515,2224,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,151,1135,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,151,2130,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,152,2047,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,152,2190,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,152,2230,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,153,1202,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,153,2210,74,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,154,2174,70,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,155,2121,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,156,2139,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,157,2218,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,158,1970,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,158,2119,8,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,159,2114,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,159,2152,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,159,2159,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,160,1500,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,161,2151,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2051,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2067,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2068,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2077,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2079,7,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2080,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2098,30,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2104,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2109,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2157,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,162,2176,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,163,2053,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,163,2067,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,163,2099,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,163,2152,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,164,2017,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,164,2078,7,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,165,2024,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,165,2073,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,165,2098,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,166,2125,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,166,2230,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,167,2090,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,167,2126,381,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,167,2159,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,167,2186,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,167,2194,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,168,1844,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,168,2164,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,169,2128,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,169,2185,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,169,2193,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,170,2077,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,170,2114,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,171,2004,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,171,2037,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,171,2075,37,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,172,1984,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,173,2093,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,173,2162,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,174,2169,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,175,2159,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,175,2240,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,176,1686,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,176,1992,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,176,2002,12,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,176,2025,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,176,2062,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,176,2106,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,176,2108,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,176,2109,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,176,2169,14,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,177,2042,11,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,177,2105,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1783,2304,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,178,1571,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,179,1981,5,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,179,2002,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,179,2108,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,179,2115,16,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,179,2138,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,179,2194,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,179,2205,8,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,181,2106,6,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,181,2126,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,182,2098,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,182,2108,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,182,2157,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,183,2026,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,183,2048,6,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1847,2202,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,184,2124,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,185,2108,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,185,2147,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,186,2104,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,186,2105,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,187,2116,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,189,2152,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,189,2236,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,190,2118,26,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,190,2157,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,190,2166,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,190,2220,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,191,2102,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,191,2123,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,191,2195,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,191,2203,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,1928,2032,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,192,1974,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,192,2044,4,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,192,2115,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,194,2104,31,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,195,2190,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,196,2105,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,196,2128,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,198,2109,3,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,198,2140,6,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,198,2177,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,2019,2137,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,2019,2187,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,2039,2185,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,204,2076,1,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
PB2,204,2158,2,SRR14352106,C,MDCK-SIAT1,24hpi,in vitro,extracellular,bulk,10.0
