Segment,Start,End,NGS_read_count,ACC_num,IFNAR,IFNLR,Cells,Replicate,Resolution,Context,Compartment
PB2,162,2109,212,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,163,1975,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,163,2139,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1646,1710,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,164,2089,24,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,167,1049,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,167,2052,13,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,167,2131,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,167,216,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,168,2119,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,170,2071,182,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,171,210,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,172,2113,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,173,2042,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,175,2083,28,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,175,2088,141,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,176,2138,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,176,356,65,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1776,1803,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,177,2086,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,177,2141,7,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,178,200,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,178,2152,102,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,179,2023,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,179,2039,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,179,2151,27,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,179,216,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,180,2087,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,180,2101,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,183,2077,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,184,1908,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,186,2086,11,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,186,2141,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,187,2109,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,187,2168,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,188,2071,22,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,188,2139,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1893,1975,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,190,2068,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,191,2048,9,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,191,2053,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,191,2075,9,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,191,2203,22,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,1928,2032,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,192,2002,21,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,192,2140,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,193,2158,7,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,198,2140,8,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,199,2006,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,199,2040,41,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,199,2053,20,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,199,2139,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,199,2171,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2044,2066,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2073,2193,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,208,2139,69,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,208,329,6,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2095,2141,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2112,2142,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2132,2196,16,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2138,2203,171,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2139,2204,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,213,2174,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2147,2191,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2148,2171,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,214,2071,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2152,2196,33,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,215,2085,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,215,2140,9,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,215,2206,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,216,2012,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,216,2024,16,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,216,2139,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,216,2156,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,216,280,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,217,2017,7,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,217,2153,103,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,217,2160,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,217,239,22,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,219,2069,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,2204,2232,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,221,243,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,224,1974,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,224,2023,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,224,2138,7,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,224,258,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,225,2081,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,225,2086,12,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,225,2119,23,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,225,2141,25,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,226,1964,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,228,1917,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,229,2023,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,233,1766,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,234,2096,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,239,1606,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,239,268,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,240,2021,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,243,2186,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,245,2012,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,245,2026,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,246,2172,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,250,2013,10,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,250,2031,20,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,251,1937,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,252,1957,31,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,253,2016,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,256,1885,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,258,1957,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,258,2053,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,264,1955,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,265,1894,6,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,265,1937,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,265,1969,59,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,265,2012,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,265,2067,19,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,265,2077,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,266,1976,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,266,2004,32,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,266,2016,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,266,333,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,269,1907,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,269,1974,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,271,2042,7,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,271,2102,122,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,272,2235,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,273,2066,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,273,2151,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,274,1973,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,274,2045,499,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,275,1937,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,275,2020,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,276,1956,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,276,2002,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,276,2023,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,277,1636,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,277,2086,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,277,2233,13,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,283,1252,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,285,1688,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,286,1973,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,287,1990,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,289,1974,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,294,1663,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,295,1969,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,295,1975,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,297,1948,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,300,1975,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,301,1941,10,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,301,1974,6,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,306,1676,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,312,2011,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,318,1908,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,322,2158,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,325,2001,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,326,1976,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,326,698,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,328,2024,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,329,1794,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,329,2066,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,333,1994,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,339,1934,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,340,1549,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,341,2068,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,342,1855,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,342,1937,37,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,342,1993,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,343,1976,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,343,368,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,359,2009,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,371,1612,11,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,371,1833,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,371,1957,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,380,1876,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,386,1860,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,387,1347,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,403,2133,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,409,1837,5,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,410,1826,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,410,1827,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,410,2021,10,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,415,1939,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,419,1851,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,425,1974,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,427,1730,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,428,1830,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,429,2140,37,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,432,1728,13,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,434,492,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,435,1795,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,445,491,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,446,1772,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,449,1813,15,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,450,1777,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,450,1793,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,451,1854,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,457,1755,7,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,470,1800,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,472,1759,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,475,1940,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,477,1815,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,490,1830,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,491,1794,6,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,498,1760,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,500,1780,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,507,2078,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,510,1616,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,511,1601,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,512,2115,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,522,1900,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,534,1990,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,535,1793,74,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,536,1790,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,549,1766,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,555,1816,13,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,555,593,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,556,1817,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,559,1613,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,561,1620,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,562,1664,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,562,1760,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,567,1817,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,568,1818,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,582,1695,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,592,1660,6,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,592,1677,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,592,1733,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,605,1654,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,607,1432,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,614,1706,17,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,628,1592,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,629,1560,18,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,631,1709,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,637,1649,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,641,759,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,646,1560,4,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,647,1592,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,660,1667,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,660,1991,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,665,1574,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,665,1587,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,670,1675,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,706,1523,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,710,759,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,735,1874,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,739,1740,16,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,751,1729,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,752,824,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,754,1602,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,755,1606,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,757,1608,12,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,758,1709,14,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,758,1957,3,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,759,1521,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,767,1514,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,778,1383,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,784,1477,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,785,1430,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,801,1465,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,817,1417,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,830,1950,2,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,831,1949,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,84,2026,23,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,88,122,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,88,139,15,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,925,2010,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB2,936,1833,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB1,105,2140,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB1,106,2148,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB1,112,1101,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB1,112,2159,24,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB1,112,349,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB1,113,185,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB1,113,2061,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB1,113,2085,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
PB1,113,2110,1,SRR16770171,1,0,Mouse,1,bulk,in vivo,unknown
