Segment,Start,End,NGS_read_count,ACC_num,Resolution,Cells,Context,MOI,Time,Compartment,Replicate
NS,57,530,1,SRR10489515,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU360high_3
PB1,213,1957,1,SRR10489516,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU37low_0
NS,57,530,1,SRR10489516,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU37low_0
NP,164,1322,2,SRR10489517,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU360high_4
M,52,741,1,SRR10489517,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU360high_4
NS,57,530,1,SRR10489517,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU360high_4
PA,197,221,1,SRR10489520,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU25low_0
PA,352,1908,2,SRR10489520,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU25low_0
M,52,741,1,SRR10489520,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU25low_0
NS,57,530,1,SRR10489520,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU25low_0
PA,167,2042,1,SRR10489522,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU890high_0
M,52,741,2,SRR10489522,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU890high_0
NS,109,530,1,SRR10489522,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU890high_0
NS,57,530,2,SRR10489522,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU890high_0
PA,194,1873,1,SRR10489523,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU1low_1
M,52,741,2,SRR10489523,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU1low_1
PA,352,1908,1,SRR10489524,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU17low_0
M,146,741,1,SRR10489524,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU17low_0
NS,206,599,1,SRR10489524,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU17low_0
PA,352,1908,1,SRR10489525,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU460high_1
NA,558,1189,1,SRR10489525,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU460high_1
PB1,485,1864,1,SRR10489526,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU3low_1
M,146,741,1,SRR10489530,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU420high_0
M,52,741,1,SRR10489530,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU420high_0
NS,206,599,2,SRR10489530,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU420high_0
NS,57,530,1,SRR10489531,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU350high_0
PA,197,221,1,SRR10489534,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU22low_1
PA,352,1908,2,SRR10489534,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU22low_1
M,52,741,1,SRR10489534,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU22low_1
NS,206,599,1,SRR10489534,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU22low_1
NS,57,530,2,SRR10489534,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU22low_1
PA,197,221,1,SRR10489535,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU11low_1
PA,352,1908,1,SRR10489535,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU11low_1
NS,57,530,1,SRR10489535,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU11low_1
PA,352,1908,1,SRR10489541,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU400high_1
HA,1240,1503,1,SRR10489546,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU560high_0
NA,226,1097,1,SRR10489546,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU560high_0
M,146,741,1,SRR10489546,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU560high_0
M,52,741,1,SRR10489546,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU560high_0
NS,206,599,2,SRR10489546,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU560high_0
NS,356,516,2,SRR10489546,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU560high_0
NS,57,530,1,SRR10489546,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU560high_0
PA,352,1908,1,SRR10489549,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU9low_0
M,52,741,1,SRR10489556,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU24low_2
NS,57,530,1,SRR10489556,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU24low_2
PA,329,1811,1,SRR10489563,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU450high_0
M,52,741,1,SRR10489563,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU450high_0
M,52,741,1,SRR10489565,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU960high_0
NS,57,530,1,SRR10489565,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU960high_0
PB1,213,1957,1,SRR10489568,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU4low_1
M,146,741,1,SRR10489568,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU4low_1
NS,57,530,1,SRR10489568,singlecell,MDCK,in vitro,10,12hpi,intracellular,PFU4low_1
PB2,108,2140,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,1191,1375,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,121,144,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,127,2140,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,1469,1958,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,147,2081,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,149,1802,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,1506,1580,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,1509,1564,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,150,2191,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,150,2207,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,151,2040,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,163,192,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,163,2195,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,171,2195,4,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,173,2087,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,183,2048,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,184,2068,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,189,2236,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,198,2104,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,210,2105,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,215,1572,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,216,2139,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,217,2204,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,221,2107,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,248,2026,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,25,2285,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,267,1933,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,271,2048,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,272,1877,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,275,1969,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,275,2015,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,317,1880,3,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,322,1974,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,327,1887,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,329,1917,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,380,1793,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,449,1935,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,462,2320,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,470,1748,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,495,1691,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,564,1789,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,67,2319,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,734,2317,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,830,1950,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,831,2317,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,88,2316,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,90,131,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,90,2317,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,1165,2121,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,1171,1952,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,1189,2146,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,1194,1939,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,1201,2161,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,1222,1866,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,139,2129,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,1828,1858,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,184,1857,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,184,2052,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,1896,1929,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,194,1996,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,195,2091,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,1987,2056,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,199,2129,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,204,1950,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,204,2016,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,2053,2129,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,2070,2110,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,2084,2110,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,212,2063,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,213,1957,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,229,2054,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,244,2107,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,25,2116,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,25,2118,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,25,2140,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,25,2209,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,25,2215,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,26,1499,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,26,1940,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,26,2120,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,26,2148,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,26,2195,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,26,2231,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,26,78,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,283,1838,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,309,1860,4,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,315,2085,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,318,1932,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,321,2080,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,323,2035,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,328,1901,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,328,1949,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,328,2011,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,334,2006,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,338,1897,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,338,1995,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,347,1989,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,357,1899,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,360,1776,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,384,1895,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,434,1966,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,434,1978,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,479,1747,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,500,1716,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,523,1695,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,526,1744,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,548,2028,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,559,1930,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,55,86,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,56,2052,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,578,1742,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,643,1729,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,844,2116,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,85,2148,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB1,95,2035,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,123,1942,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,139,1966,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,139,1979,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,140,2087,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,144,1923,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,146,1974,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,153,1833,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,1557,1990,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,160,1950,3,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,162,1906,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,167,1990,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,169,1952,3,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,172,1458,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,174,2000,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,181,1631,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,182,1924,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,1893,1968,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,1896,2212,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,194,1873,4,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,195,1454,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,1960,2210,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,197,1954,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,197,221,4,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,198,1996,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,200,1983,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,204,1819,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,222,1879,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,225,1977,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,230,2215,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,239,1970,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,249,1959,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,254,1870,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,258,1967,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,259,1727,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,25,1836,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,263,1864,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,268,1902,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,26,1800,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,26,2189,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,272,1801,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,272,623,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,283,2044,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,285,1780,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,287,1876,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,295,372,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,299,1916,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,301,1745,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,301,1879,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,301,1901,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,303,2071,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,313,1854,3,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,329,1811,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,336,1904,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,341,1724,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,342,1745,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,352,1707,3,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,352,1908,5,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,365,1765,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,365,1780,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,370,1699,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,407,1745,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,424,1692,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,457,1691,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,461,2213,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,472,1697,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,474,1825,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,495,1660,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,515,1797,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,519,1558,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
