Segment,Start,End,NGS_read_count,ACC_num,Cells,Time,Replicate,Context,Compartment,Resolution,MOI
PB1,168,2130,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,180,2081,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,9,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2031,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,268,1951,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,268,2049,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,10,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,272,2101,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,299,1857,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,299,1896,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,413,1897,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,438,1828,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,643,1581,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,122,2027,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,171,1960,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,191,1914,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,264,1910,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,301,1844,28,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,462,1813,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,228,1277,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,487,1029,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,912,985,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,52,741,56,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,57,530,32,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,723,745,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,156,191,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2006,59,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,182,2144,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,23,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2186,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,295,343,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,534,1759,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,137,2129,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1948,1988,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2054,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2031,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,233,1911,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,13,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,303,1905,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,345,1882,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,345,1898,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,381,2030,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,438,1828,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,96,2159,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,122,2027,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,138,1984,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,146,1986,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,156,1906,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,199,240,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,220,1907,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,293,1816,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,301,1844,29,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,389,1761,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,462,1813,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,720,1961,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,1551,1585,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,184,1459,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,217,1455,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,284,1349,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,425,572,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,671,873,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,290,1210,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,52,741,43,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,182,619,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,57,530,42,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,99,662,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,124,2135,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,1578,1895,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2006,58,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,165,2008,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,182,2144,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,36,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,225,2073,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,373,1820,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,134,2168,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,12,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2031,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,13,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,345,1898,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,381,2030,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,413,1897,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,438,1828,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,531,1896,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,533,561,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,4,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,122,2027,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,124,1984,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,138,208,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,208,1952,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,226,1941,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,281,413,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,301,1844,19,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,376,1948,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,462,1813,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,61,110,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,720,1961,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,100,1566,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,1240,1503,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,697,741,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,52,741,62,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,57,530,35,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,58,531,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2006,41,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,199,2230,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,30,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,258,2003,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,295,343,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,46,154,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,137,2094,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,10,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2031,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,203,2110,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,268,2049,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,10,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,412,1578,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,438,1828,5,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,1862,2070,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,208,1952,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,211,263,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,281,413,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,293,1816,5,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,301,1844,24,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,462,1813,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,720,1961,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,440,1055,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,416,1070,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,686,733,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,904,978,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,52,741,51,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,57,530,33,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2006,67,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,182,2144,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,32,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,436,1762,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,534,1759,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,126,2158,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,11,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2031,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,268,2049,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,13,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,345,1898,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,413,1897,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,438,1828,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,768,1625,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,122,2027,4,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,138,208,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,2026,2063,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,208,1952,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,293,1816,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,301,1844,23,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,390,1753,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,409,456,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,462,1813,5,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,720,1961,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,1240,1503,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,214,1467,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,781,846,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,956,983,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NA,156,918,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,52,741,42,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,52,526,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,57,530,44,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,124,2135,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2006,58,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,31,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,278,2178,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,436,1762,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,168,2130,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,11,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2030,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2031,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2032,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,268,2049,4,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,14,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,299,1857,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,324,2090,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,345,1898,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,410,1775,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,410,1883,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,438,1828,4,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,98,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,122,2027,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,135,1990,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,138,208,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,146,1990,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,4,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,266,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,208,1952,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,281,413,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,301,1844,23,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,462,1813,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,720,1961,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,1060,1103,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,206,1279,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,343,618,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,52,741,65,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,57,530,43,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,1578,1895,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2006,60,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,182,2144,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,33,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,269,1936,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,436,1762,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,121,2118,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,12,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2031,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,268,1898,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,14,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,381,2030,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,438,1828,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,122,2027,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,135,1990,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,157,1973,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,208,1952,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,281,413,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,293,1816,4,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,301,1844,19,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,349,1815,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,453,1631,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,462,1813,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,483,1734,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,284,1349,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,697,783,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,290,1210,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,337,1019,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,600,654,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,297,365,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,52,741,56,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,57,530,32,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2006,58,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2024,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,198,2157,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,34,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,231,1937,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,295,343,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,8,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,1985,2031,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,202,2113,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,2049,2098,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,260,1972,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,11,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,347,1898,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,7,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,908,974,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,122,2027,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,208,1952,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,280,1902,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,281,413,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,293,1816,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,296,1861,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,301,1844,21,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,462,1813,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,720,1961,2,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,1551,1585,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,422,596,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
HA,663,817,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NP,1196,1311,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,127,741,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,146,741,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
M,52,741,58,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
NS,57,530,38,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,163,2006,58,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,216,2067,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,224,2138,30,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,293,1760,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB2,534,1759,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,193,2118,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,195,2033,8,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,207,2109,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,268,2049,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,269,2054,10,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,280,1967,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,301,1991,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,381,2030,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,410,1775,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,413,1897,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,438,1828,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PB1,54,77,7,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,122,2027,3,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,135,1990,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,146,1990,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,206,1916,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
PA,281,413,1,SRR7722028,A549,6,1,in vitro,intracellular,singlecell,5
