Segment,Start,End,NGS_read_count,ACC_num,Cells,Time,Replicate,Context,Compartment,Resolution
PB2,290,2040,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,317,1970,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,319,1775,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,320,1948,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,322,2020,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,334,2069,10,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,352,2029,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,378,436,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,379,424,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,382,426,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,388,2107,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,419,461,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,432,1759,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,449,472,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,450,1677,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,450,1761,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,451,1744,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,468,1780,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,469,1820,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,469,523,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,470,1749,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,481,1794,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,481,1839,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,486,521,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,496,2182,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,498,1742,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,498,1792,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,500,1761,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,502,1765,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,533,1820,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,554,613,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,577,1755,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,592,1838,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,631,1524,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,640,1478,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,666,1515,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,668,1565,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,676,2002,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,730,1599,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,749,1591,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,779,827,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,795,1707,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,802,1450,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,806,1539,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,817,1620,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,867,1803,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,894,2151,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,912,935,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB2,92,119,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,100,2040,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1039,1226,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1050,1109,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1050,1216,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1052,1157,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,112,2166,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,114,150,3,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,115,163,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,115,2138,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1169,2204,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,116,2167,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,116,2168,4,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,116,2179,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1190,1684,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,120,2059,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,121,148,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,121,2078,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,121,2155,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,123,2168,4,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,125,2203,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,126,2165,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,129,2166,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,132,2093,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,133,1964,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,134,2103,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,137,2065,8,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,137,2110,24,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,137,2158,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,137,2165,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,139,2141,4,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1434,1876,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,144,2058,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,144,2081,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,144,2103,7,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,144,2114,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,145,2100,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,145,2103,28,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,145,2168,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,146,194,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,146,2082,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,146,2104,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,146,2115,4,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,148,2158,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,151,2109,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1531,2249,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1567,1601,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,164,1878,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,166,2047,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1688,2110,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1711,1746,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1711,1753,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,179,2110,6,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1838,1919,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,184,1933,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,184,2052,16,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1862,1899,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,188,2128,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1899,2101,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,189,2103,3,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1984,2049,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,1999,2044,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,2002,2100,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,2004,2164,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,2063,2100,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,209,2168,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,210,2054,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,2110,2166,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,2137,2162,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,2137,2239,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,2152,2227,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,218,2042,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,234,2042,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,256,440,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,258,2116,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,286,1899,4,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,293,1875,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,324,2109,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,327,2088,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,334,1899,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,334,2006,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,335,1098,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,342,1899,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,348,1900,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,349,1899,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,350,1954,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,351,1876,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,351,1947,3,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,357,1899,6,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,358,1974,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,359,1836,4,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,361,1899,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,361,385,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,364,1847,6,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,367,1898,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,375,1887,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,375,1908,3,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,376,1895,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,377,1715,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,378,1938,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,380,1898,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,381,1858,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,381,1871,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,381,1897,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,383,1875,3,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,383,1946,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,384,1871,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,385,1875,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,386,1995,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,387,2066,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,397,1931,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,399,1900,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,414,1720,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,423,1824,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,430,469,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,436,1812,3,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,447,1841,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,448,1863,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,44,2099,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,44,2102,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,450,1857,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,45,2032,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,471,1899,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,477,1483,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,479,1815,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,548,1861,3,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,54,2110,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,58,128,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,590,1672,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,591,1714,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,594,1644,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,599,1596,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,59,2090,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,623,1639,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,627,1625,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,632,1632,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,638,1523,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,671,1586,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,678,1515,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,67,99,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,683,1715,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,68,94,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,70,98,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,715,1442,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,71,114,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,722,1582,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,76,149,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,76,2230,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,76,98,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,823,1528,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,829,1354,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,879,1300,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,881,1421,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,887,1324,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,88,2060,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PB1,997,1306,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,102,166,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,1060,1104,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,124,168,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,126,192,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,130,2062,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,130,2075,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,130,2076,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,130,2077,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,131,217,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,132,163,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,134,1971,4,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,135,2070,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,137,165,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,137,2113,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,138,1953,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,138,1990,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,138,2063,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,138,214,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,140,1714,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,140,1972,9,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,140,2075,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,141,1941,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,147,179,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,150,198,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,155,1924,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,155,2086,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,156,2082,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,156,2132,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,157,1961,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,158,1954,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,158,1958,5,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,158,2054,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,158,2062,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,159,1977,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,159,1979,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,160,1967,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,1643,1745,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,164,2071,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,1668,1718,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,166,1908,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,167,2111,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,1699,1798,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,170,2086,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,171,462,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,172,1817,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,175,2041,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,177,2068,9,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,179,1860,5,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,181,2074,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,183,1953,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,185,2053,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,187,1906,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,1906,1935,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,190,1949,26,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,190,232,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,191,1952,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,191,2055,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,192,1954,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,192,2075,3,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,193,1880,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,195,1952,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,196,1917,2,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,197,1909,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,199,1935,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,200,242,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,2027,2068,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,2031,2175,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,2042,2096,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,2059,2087,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
PA,206,1938,1,ERR4566024,A549,48hpi,1,in vitro,intracellular,singlecell
