ID,Best Cluster
B_Yamagata_16_1988_PB1_801_1611,7
B_Yamagata_16_1988_PB1_829_1450,4
B_Yamagata_16_1988_PB1_830_1541,7
B_Yamagata_16_1988_PB1_833_1551,7
B_Yamagata_16_1988_PB1_839_1534,7
B_Yamagata_16_1988_PB1_839_1561,7
B_Yamagata_16_1988_PB1_839_1630,7
B_Yamagata_16_1988_PB1_840_1496,-1
B_Yamagata_16_1988_PB1_840_1584,7
B_Yamagata_16_1988_PB1_840_1586,3
B_Yamagata_16_1988_PB1_848_1568,1
B_Yamagata_16_1988_PB1_848_1572,-1
B_Yamagata_16_1988_PB1_848_1607,3
B_Yamagata_16_1988_PB1_873_1593,7
B_Yamagata_16_1988_PB1_873_1596,-1
B_Yamagata_16_1988_PB1_945_1771,1
B_Yamagata_16_1988_PB1_946_2047,1
B_Yamagata_16_1988_PB2_147_2149,7
B_Yamagata_16_1988_PB2_159_2214,6
B_Yamagata_16_1988_PB2_161_2211,2
B_Yamagata_16_1988_PB2_162_2145,4
B_Yamagata_16_1988_PB2_163_2148,2
B_Yamagata_16_1988_PB2_164_2125,2
B_Yamagata_16_1988_PB2_164_2144,-1
B_Yamagata_16_1988_PB2_164_2211,2
B_Yamagata_16_1988_PB2_164_2216,6
B_Yamagata_16_1988_PB2_164_245,-1
B_Yamagata_16_1988_PB2_1656_1905,-1
B_Yamagata_16_1988_PB2_189_2144,5
B_Yamagata_16_1988_PB2_1984_2084,7
B_Yamagata_16_1988_PB2_199_2055,7
B_Yamagata_16_1988_PB2_203_2052,5
B_Yamagata_16_1988_PB2_203_2208,2
B_Yamagata_16_1988_PB2_203_2213,6
B_Yamagata_16_1988_PB2_203_2230,6
B_Yamagata_16_1988_PB2_203_2262,7
B_Yamagata_16_1988_PB2_238_2143,4
B_Yamagata_16_1988_PB2_239_2122,7
B_Yamagata_16_1988_PB2_241_2144,6
B_Yamagata_16_1988_PB2_241_2151,7
B_Yamagata_16_1988_PB2_243_2059,5
B_Yamagata_16_1988_PB2_243_2123,2
B_Yamagata_16_1988_PB2_243_2127,5
B_Yamagata_16_1988_PB2_243_2142,0
B_Yamagata_16_1988_PB2_243_2148,2
B_Yamagata_16_1988_PB2_244_2055,0
B_Yamagata_16_1988_PB2_244_2086,2
B_Yamagata_16_1988_PB2_244_2125,2
B_Yamagata_16_1988_PB2_244_2135,7
B_Yamagata_16_1988_PB2_244_2142,5
B_Yamagata_16_1988_PB2_244_2144,2
B_Yamagata_16_1988_PB2_244_2153,5
B_Yamagata_16_1988_PB2_244_2202,6
B_Yamagata_16_1988_PB2_244_2206,0
B_Yamagata_16_1988_PB2_244_2216,-1
B_Yamagata_16_1988_PB2_244_2233,6
B_Yamagata_16_1988_PB2_244_2238,-1
B_Yamagata_16_1988_PB2_244_2242,0
B_Yamagata_16_1988_PB2_244_2257,6
B_Yamagata_16_1988_PB2_244_2265,5
B_Yamagata_16_1988_PB2_244_2290,7
B_Yamagata_16_1988_PB2_245_1948,6
B_Yamagata_16_1988_PB2_245_2139,-1
B_Yamagata_16_1988_PB2_245_2212,0
B_Yamagata_16_1988_PB2_247_2009,6
B_Yamagata_16_1988_PB2_252_2063,0
B_Yamagata_16_1988_PB2_264_2058,3
B_Yamagata_16_1988_PB2_270_1836,3
B_Yamagata_16_1988_PB2_277_2072,5
B_Yamagata_16_1988_PB2_291_1632,1
B_Yamagata_16_1988_PB2_31_62,5
B_Yamagata_16_1988_PB2_343_1877,7
B_Yamagata_16_1988_PB2_358_1954,5
B_Yamagata_16_1988_PB2_391_1949,2
B_Yamagata_16_1988_PB2_397_2054,2
B_Yamagata_16_1988_PB2_405_1889,1
B_Yamagata_16_1988_PB2_417_1927,1
B_Yamagata_16_1988_PB2_418_2036,1
B_Yamagata_16_1988_PB2_427_1917,5
B_Yamagata_16_1988_PB2_428_1928,7
B_Yamagata_16_1988_PB2_428_2034,6
B_Yamagata_16_1988_PB2_428_2211,0
B_Yamagata_16_1988_PB2_429_1909,2
B_Yamagata_16_1988_PB2_429_454,4
B_Yamagata_16_1988_PB2_42_66,6
B_Yamagata_16_1988_PB2_43_68,6
B_Yamagata_16_1988_PB2_445_1962,1
B_Yamagata_16_1988_PB2_446_1952,7
B_Yamagata_16_1988_PB2_446_2022,1
B_Yamagata_16_1988_PB2_448_1772,-1
B_Yamagata_16_1988_PB2_454_1905,6
B_Yamagata_16_1988_PB2_457_2080,1
B_Yamagata_16_1988_PB2_461_1997,2
B_Yamagata_16_1988_PB2_462_2061,3
B_Yamagata_16_1988_PB2_466_1979,5
B_Yamagata_16_1988_PB2_469_1917,5
B_Yamagata_16_1988_PB2_47_73,5
B_Yamagata_16_1988_PB2_481_1926,2
B_Yamagata_16_1988_PB2_481_1978,7
B_Yamagata_16_1988_PB2_499_1786,4
B_Yamagata_16_1988_PB2_49_72,0
B_Yamagata_16_1988_PB2_504_2077,3
B_Yamagata_16_1988_PB2_508_2081,7
B_Yamagata_16_1988_PB2_576_1872,-1
B_Yamagata_16_1988_PB2_585_1769,-1
B_Yamagata_16_1988_PB2_586_1758,7
B_Yamagata_16_1988_PB2_589_1771,7
B_Yamagata_16_1988_PB2_589_1874,4
B_Yamagata_16_1988_PB2_591_1758,7
B_Yamagata_16_1988_PB2_607_1907,4
B_Yamagata_16_1988_PB2_608_1748,4
B_Yamagata_16_1988_PB2_609_1837,7
B_Yamagata_16_1988_PB2_610_1761,3
B_Yamagata_16_1988_PB2_610_1952,6
B_Yamagata_16_1988_PB2_610_2070,3
B_Yamagata_16_1988_PB2_611_1857,6
B_Yamagata_16_1988_PB2_617_1747,4
B_Yamagata_16_1988_PB2_620_1740,4
B_Yamagata_16_1988_PB2_622_1752,4
B_Yamagata_16_1988_PB2_623_1736,1
B_Yamagata_16_1988_PB2_623_1738,3
B_Yamagata_16_1988_PB2_624_1734,7
B_Yamagata_16_1988_PB2_625_1616,3
B_Yamagata_16_1988_PB2_634_1634,4
B_Yamagata_16_1988_PB2_639_1663,3
B_Yamagata_16_1988_PB2_647_1621,7
B_Yamagata_16_1988_PB2_707_1613,7
B_Yamagata_16_1988_PB2_707_1618,-1
B_Yamagata_16_1988_PB2_716_1872,6
B_Yamagata_16_1988_PB2_733_1752,-1
B_Yamagata_16_1988_PB2_739_1753,-1
B_Yamagata_16_1988_PB2_741_1753,7
B_Yamagata_16_1988_PB2_748_2068,3
B_Yamagata_16_1988_PB2_763_1679,6
B_Yamagata_16_1988_PB2_768_1785,7
B_Yamagata_16_1988_PB2_841_1575,5
B_Yamagata_16_1988_PB2_86_1498,7
B_Yamagata_16_1988_PB2_919_1483,7
