index,ID,UMAP1,UMAP2,Cluster,center_x,center_y
60,A_PuertoRico_8_1934_HA_164_1421,8.762238,4.289374,0,8.571022,4.451144
61,A_PuertoRico_8_1934_HA_164_1498,8.659938,4.3091803,0,8.571022,4.451144
62,A_PuertoRico_8_1934_HA_166_1447,8.154393,4.356023,0,8.571022,4.451144
63,A_PuertoRico_8_1934_HA_166_1518,8.807425,4.4261513,0,8.571022,4.451144
64,A_PuertoRico_8_1934_HA_167_1644,4.0331473,4.757932,1,2.5819721,5.142653
65,A_PuertoRico_8_1934_HA_168_1454,8.77528,4.5318394,0,8.571022,4.451144
66,A_PuertoRico_8_1934_HA_173_1391,3.6145947,2.6507475,1,2.5819721,5.142653
67,A_PuertoRico_8_1934_HA_174_1383,8.73522,4.172027,0,8.571022,4.451144
68,A_PuertoRico_8_1934_HA_174_1470,8.875164,4.194904,0,8.571022,4.451144
69,A_PuertoRico_8_1934_HA_174_1484,8.843233,4.1795,0,8.571022,4.451144
70,A_PuertoRico_8_1934_HA_174_1487,8.835911,4.163558,0,8.571022,4.451144
71,A_PuertoRico_8_1934_HA_175_1429,7.6927147,3.9807935,0,8.571022,4.451144
72,A_PuertoRico_8_1934_HA_175_1448,7.6892457,3.9523568,0,8.571022,4.451144
73,A_PuertoRico_8_1934_HA_175_1466,7.7336435,3.891462,0,8.571022,4.451144
74,A_PuertoRico_8_1934_HA_178_1460,2.6098406,4.451287,1,2.5819721,5.142653
75,A_PuertoRico_8_1934_HA_182_1480,2.7111657,5.678907,1,2.5819721,5.142653
76,A_PuertoRico_8_1934_HA_183_1509,-0.04332851,5.72684,1,2.5819721,5.142653
77,A_PuertoRico_8_1934_HA_185_1489,8.914691,5.006998,0,8.571022,4.451144
78,A_PuertoRico_8_1934_HA_186_1697,4.35003,4.2325034,1,2.5819721,5.142653
79,A_PuertoRico_8_1934_HA_189_1532,9.922823,4.77209,0,8.571022,4.451144
80,A_PuertoRico_8_1934_HA_191_1404,3.8817742,7.2718906,1,2.5819721,5.142653
81,A_PuertoRico_8_1934_HA_194_1629,4.3854423,5.013765,1,2.5819721,5.142653
82,A_PuertoRico_8_1934_HA_195_1397,6.98779,5.554305,0,8.571022,4.451144
83,A_PuertoRico_8_1934_HA_202_1523,6.7569475,6.3411803,0,8.571022,4.451144
84,A_PuertoRico_8_1934_HA_205_1476,8.851002,4.6042,0,8.571022,4.451144
85,A_PuertoRico_8_1934_HA_206_1345,8.114051,4.413779,0,8.571022,4.451144
86,A_PuertoRico_8_1934_HA_206_1447,8.081466,4.38803,0,8.571022,4.451144
87,A_PuertoRico_8_1934_HA_206_1699,8.015191,4.3982024,0,8.571022,4.451144
88,A_PuertoRico_8_1934_HA_207_1344,2.734806,4.2595515,1,2.5819721,5.142653
89,A_PuertoRico_8_1934_HA_207_233,2.600158,4.369003,1,2.5819721,5.142653
90,A_PuertoRico_8_1934_HA_208_1501,0.018867973,5.716038,1,2.5819721,5.142653
91,A_PuertoRico_8_1934_HA_208_1534,-0.015779974,5.75529,1,2.5819721,5.142653
92,A_PuertoRico_8_1934_HA_210_1343,9.075348,4.142381,0,8.571022,4.451144
93,A_PuertoRico_8_1934_HA_210_1447,8.051404,4.3477364,0,8.571022,4.451144
94,A_PuertoRico_8_1934_HA_215_1646,9.636957,5.2173424,0,8.571022,4.451144
95,A_PuertoRico_8_1934_HA_216_1678,7.248438,6.7514987,0,8.571022,4.451144
96,A_PuertoRico_8_1934_HA_218_1417,2.760375,5.8678827,1,2.5819721,5.142653
97,A_PuertoRico_8_1934_HA_219_1648,1.7132316,5.015525,1,2.5819721,5.142653
98,A_PuertoRico_8_1934_HA_231_1428,8.655635,5.2046604,0,8.571022,4.451144
99,A_PuertoRico_8_1934_HA_231_1500,3.9861047,3.44706,1,2.5819721,5.142653
100,A_PuertoRico_8_1934_HA_236_1409,8.2640915,7.342362,0,8.571022,4.451144
101,A_PuertoRico_8_1934_HA_249_1490,9.721946,5.040977,0,8.571022,4.451144
102,A_PuertoRico_8_1934_HA_249_1532,9.856257,5.055014,0,8.571022,4.451144
103,A_PuertoRico_8_1934_HA_262_1356,0.07715838,4.9593105,1,2.5819721,5.142653
104,A_PuertoRico_8_1934_HA_262_1477,0.14591293,4.9050927,1,2.5819721,5.142653
105,A_PuertoRico_8_1934_HA_262_1692,0.09437958,4.939985,1,2.5819721,5.142653
106,A_PuertoRico_8_1934_HA_263_1104,0.99931824,5.7554855,1,2.5819721,5.142653
107,A_PuertoRico_8_1934_HA_272_1418,9.727231,3.9059699,0,8.571022,4.451144
108,A_PuertoRico_8_1934_HA_274_1378,6.6675224,6.289572,0,8.571022,4.451144
109,A_PuertoRico_8_1934_HA_274_1440,8.4805565,4.448816,0,8.571022,4.451144
110,A_PuertoRico_8_1934_HA_274_1576,6.7886868,6.2216406,0,8.571022,4.451144
111,A_PuertoRico_8_1934_HA_278_1428,8.601078,5.019278,0,8.571022,4.451144
112,A_PuertoRico_8_1934_HA_282_1349,3.1952953,4.4141355,1,2.5819721,5.142653
113,A_PuertoRico_8_1934_HA_283_1375,0.38541514,5.0697,1,2.5819721,5.142653
114,A_PuertoRico_8_1934_HA_283_1420,0.36261994,5.033719,1,2.5819721,5.142653
115,A_PuertoRico_8_1934_HA_289_1467,3.916208,6.720172,1,2.5819721,5.142653
116,A_PuertoRico_8_1934_HA_290_1418,8.887165,4.3894677,0,8.571022,4.451144
117,A_PuertoRico_8_1934_HA_292_1483,2.5019205,3.930152,1,2.5819721,5.142653
118,A_PuertoRico_8_1934_HA_297_1363,4.413817,5.188278,1,2.5819721,5.142653
119,A_PuertoRico_8_1934_HA_302_1348,-0.06162379,5.610093,1,2.5819721,5.142653
120,A_PuertoRico_8_1934_HA_308_1436,7.6923976,3.070945,0,8.571022,4.451144
121,A_PuertoRico_8_1934_HA_309_1413,2.4717457,3.456765,1,2.5819721,5.142653
122,A_PuertoRico_8_1934_HA_314_1644,4.1460724,4.760825,1,2.5819721,5.142653
123,A_PuertoRico_8_1934_HA_316_1343,9.087407,4.3393393,0,8.571022,4.451144
124,A_PuertoRico_8_1934_HA_316_1373,9.218595,4.5669293,0,8.571022,4.451144
125,A_PuertoRico_8_1934_HA_321_1605,-0.028768528,5.7618046,1,2.5819721,5.142653
126,A_PuertoRico_8_1934_HA_329_1447,8.063254,4.339669,0,8.571022,4.451144
127,A_PuertoRico_8_1934_HA_332_1254,8.307034,0.538695,0,8.571022,4.451144
128,A_PuertoRico_8_1934_HA_339_1348,-0.030750785,5.7072616,1,2.5819721,5.142653
129,A_PuertoRico_8_1934_HA_368_1392,4.254909,7.144908,1,2.5819721,5.142653
130,A_PuertoRico_8_1934_HA_375_1080,2.8024359,3.3976002,1,2.5819721,5.142653
131,A_PuertoRico_8_1934_HA_465_1350,8.850206,1.8192371,0,8.571022,4.451144
132,A_PuertoRico_8_1934_HA_47_107,8.839515,4.356483,0,8.571022,4.451144
133,A_PuertoRico_8_1934_HA_47_1581,8.865952,4.4964833,0,8.571022,4.451144
134,A_PuertoRico_8_1934_HA_48_1485,4.0184345,4.585936,1,2.5819721,5.142653
135,A_PuertoRico_8_1934_HA_51_1540,8.849008,4.0604544,0,8.571022,4.451144
136,A_PuertoRico_8_1934_HA_529_1081,0.058941588,5.092174,1,2.5819721,5.142653
137,A_PuertoRico_8_1934_HA_65_1489,9.011169,5.017895,0,8.571022,4.451144
138,A_PuertoRico_8_1934_HA_75_1514,0.1276161,5.5058455,1,2.5819721,5.142653
139,A_PuertoRico_8_1934_HA_80_1536,3.0732508,3.0387104,1,2.5819721,5.142653
140,A_PuertoRico_8_1934_HA_81_1585,-0.05556966,5.284564,1,2.5819721,5.142653
141,A_PuertoRico_8_1934_HA_84_1558,3.6606247,6.2225804,1,2.5819721,5.142653
142,A_PuertoRico_8_1934_HA_85_1538,7.7237473,4.344699,0,8.571022,4.451144
143,A_PuertoRico_8_1934_HA_85_1719,7.533359,3.699926,0,8.571022,4.451144
144,A_PuertoRico_8_1934_HA_86_1533,3.2136242,6.616197,1,2.5819721,5.142653
145,A_PuertoRico_8_1934_HA_87_1489,8.911388,4.7078004,0,8.571022,4.451144
146,A_PuertoRico_8_1934_HA_87_1581,8.8626375,4.5382323,0,8.571022,4.451144
147,A_PuertoRico_8_1934_HA_91_1533,3.3691664,7.190619,1,2.5819721,5.142653
148,A_PuertoRico_8_1934_HA_91_1554,3.465344,7.198726,1,2.5819721,5.142653
149,A_PuertoRico_8_1934_HA_92_1484,8.786976,4.5866585,0,8.571022,4.451144
150,A_PuertoRico_8_1934_HA_92_1581,8.885123,4.602319,0,8.571022,4.451144
151,A_PuertoRico_8_1934_HA_93_140,2.5387056,4.3915167,1,2.5819721,5.142653
152,A_PuertoRico_8_1934_HA_93_1460,2.6349432,4.6120014,1,2.5819721,5.142653
153,A_PuertoRico_8_1934_HA_94_1534,0.029500304,5.837492,1,2.5819721,5.142653
154,A_PuertoRico_8_1934_HA_96_1484,8.696323,4.115413,0,8.571022,4.451144
155,A_PuertoRico_8_1934_HA_96_1518,8.715326,4.134273,0,8.571022,4.451144
156,A_PuertoRico_8_1934_HA_96_1569,8.640913,4.0737433,0,8.571022,4.451144
157,A_PuertoRico_8_1934_HA_96_1574,8.632688,4.0962806,0,8.571022,4.451144
158,A_PuertoRico_8_1934_HA_975_1341,8.690056,4.4077263,0,8.571022,4.451144
159,A_PuertoRico_8_1934_HA_97_1539,3.686124,6.0753202,1,2.5819721,5.142653
160,A_PuertoRico_8_1934_HA_97_1558,3.662501,6.201819,1,2.5819721,5.142653
161,A_PuertoRico_8_1934_HA_97_1584,4.0908036,6.1079526,1,2.5819721,5.142653
162,A_PuertoRico_8_1934_HA_97_1589,3.787317,6.3074074,1,2.5819721,5.142653
163,A_PuertoRico_8_1934_HA_98_1518,8.863918,4.408162,0,8.571022,4.451144
164,A_PuertoRico_8_1934_HA_98_1537,8.038058,4.259512,0,8.571022,4.451144
165,A_PuertoRico_8_1934_HA_98_1602,7.87143,2.1632626,0,8.571022,4.451144
166,A_PuertoRico_8_1934_M_121_853,2.1897366,4.6931877,1,2.5819721,5.142653
167,A_PuertoRico_8_1934_M_126_741,0.6926496,5.625849,1,2.5819721,5.142653
168,A_PuertoRico_8_1934_M_132_939,6.280084,4.712327,0,8.571022,4.451144
169,A_PuertoRico_8_1934_M_175_907,9.373844,3.6340804,0,8.571022,4.451144
170,A_PuertoRico_8_1934_M_52_741,0.6555061,5.9474397,1,2.5819721,5.142653
171,A_PuertoRico_8_1934_M_738_824,9.695411,7.2907877,0,8.571022,4.451144
172,A_PuertoRico_8_1934_NA_1166_1329,3.5572598,5.283561,1,2.5819721,5.142653
173,A_PuertoRico_8_1934_NA_121_1114,4.0213604,2.9623744,1,2.5819721,5.142653
174,A_PuertoRico_8_1934_NA_155_224,3.5846689,2.7188632,1,2.5819721,5.142653
175,A_PuertoRico_8_1934_NA_156_207,7.431939,2.0200934,0,8.571022,4.451144
176,A_PuertoRico_8_1934_NA_157_200,4.037084,4.0938864,1,2.5819721,5.142653
177,A_PuertoRico_8_1934_NA_173_1231,9.185154,3.7176008,0,8.571022,4.451144
178,A_PuertoRico_8_1934_NA_175_1066,6.646051,3.232634,0,8.571022,4.451144
179,A_PuertoRico_8_1934_NA_178_804,2.2826257,6.306303,1,2.5819721,5.142653
180,A_PuertoRico_8_1934_NA_179_376,4.344698,5.0741653,1,2.5819721,5.142653
181,A_PuertoRico_8_1934_NA_187_1108,7.859694,4.3584337,0,8.571022,4.451144
182,A_PuertoRico_8_1934_NA_202_1126,-0.07433804,6.084731,1,2.5819721,5.142653
183,A_PuertoRico_8_1934_NA_209_838,1.1331625,4.885869,1,2.5819721,5.142653
184,A_PuertoRico_8_1934_NA_211_966,5.7083693,5.203971,0,8.571022,4.451144
185,A_PuertoRico_8_1934_NA_212_1110,4.2425065,3.5947878,1,2.5819721,5.142653
186,A_PuertoRico_8_1934_NA_224_263,0.5903538,6.631669,1,2.5819721,5.142653
187,A_PuertoRico_8_1934_NA_260_1081,3.0823565,5.2398086,1,2.5819721,5.142653
188,A_PuertoRico_8_1934_NA_261_1095,-0.102740414,4.846119,1,2.5819721,5.142653
189,A_PuertoRico_8_1934_NA_261_1249,-0.07817939,4.6405525,1,2.5819721,5.142653
190,A_PuertoRico_8_1934_NA_278_1125,3.8633547,6.976727,1,2.5819721,5.142653
191,A_PuertoRico_8_1934_NA_294_1213,7.0069675,6.571968,0,8.571022,4.451144
192,A_PuertoRico_8_1934_NA_301_1245,0.24324124,6.424548,1,2.5819721,5.142653
193,A_PuertoRico_8_1934_NA_302_945,3.781863,6.7945285,1,2.5819721,5.142653
194,A_PuertoRico_8_1934_NA_306_1183,10.251012,6.938912,0,8.571022,4.451144
195,A_PuertoRico_8_1934_NA_307_992,9.685338,2.8056283,0,8.571022,4.451144
196,A_PuertoRico_8_1934_NA_327_1213,7.080465,6.510261,0,8.571022,4.451144
197,A_PuertoRico_8_1934_NA_34_108,8.023593,4.2499757,0,8.571022,4.451144
198,A_PuertoRico_8_1934_NA_360_1029,3.863495,5.336982,1,2.5819721,5.142653
199,A_PuertoRico_8_1934_NA_510_946,0.34415248,4.975333,1,2.5819721,5.142653
200,A_PuertoRico_8_1934_NA_541_1086,1.4788159,6.1473346,1,2.5819721,5.142653
201,A_PuertoRico_8_1934_NA_573_1070,6.715688,5.568444,0,8.571022,4.451144
202,A_PuertoRico_8_1934_NA_591_999,2.8459227,2.9784596,1,2.5819721,5.142653
203,A_PuertoRico_8_1934_NA_61_93,-0.05876254,5.2011228,1,2.5819721,5.142653
204,A_PuertoRico_8_1934_NA_77_128,9.873858,5.243455,0,8.571022,4.451144
205,A_PuertoRico_8_1934_NA_98_1270,8.235444,2.5102541,0,8.571022,4.451144
206,A_PuertoRico_8_1934_NP_109_479,0.371914,5.1889863,1,2.5819721,5.142653
207,A_PuertoRico_8_1934_NP_1192_1295,7.676883,3.3025277,0,8.571022,4.451144
208,A_PuertoRico_8_1934_NP_1241_1270,9.84767,4.102305,0,8.571022,4.451144
209,A_PuertoRico_8_1934_NP_124_495,5.9562593,3.284496,0,8.571022,4.451144
210,A_PuertoRico_8_1934_NP_1259_1288,8.102968,2.4546986,0,8.571022,4.451144
211,A_PuertoRico_8_1934_NP_155_626,1.129395,5.7485604,1,2.5819721,5.142653
212,A_PuertoRico_8_1934_NP_178_1399,7.8073173,2.0085833,0,8.571022,4.451144
213,A_PuertoRico_8_1934_NP_179_1231,3.786779,4.097848,1,2.5819721,5.142653
214,A_PuertoRico_8_1934_NP_195_1287,2.4842448,4.456162,1,2.5819721,5.142653
215,A_PuertoRico_8_1934_NP_204_1491,3.3061352,5.553953,1,2.5819721,5.142653
216,A_PuertoRico_8_1934_NP_205_1369,0.2812754,4.7691193,1,2.5819721,5.142653
217,A_PuertoRico_8_1934_NP_205_1384,0.65327114,4.672036,1,2.5819721,5.142653
218,A_PuertoRico_8_1934_NP_206_671,0.9946266,5.3383164,1,2.5819721,5.142653
219,A_PuertoRico_8_1934_NP_207_1351,9.595037,5.8133373,0,8.571022,4.451144
220,A_PuertoRico_8_1934_NP_223_1200,9.838502,4.1807094,0,8.571022,4.451144
221,A_PuertoRico_8_1934_NP_223_1277,9.956657,4.260498,0,8.571022,4.451144
222,A_PuertoRico_8_1934_NP_224_1291,1.3710325,5.031894,1,2.5819721,5.142653
223,A_PuertoRico_8_1934_NP_234_1277,9.902849,4.2214055,0,8.571022,4.451144
224,A_PuertoRico_8_1934_NP_234_1308,9.766952,4.1322064,0,8.571022,4.451144
225,A_PuertoRico_8_1934_NP_251_1499,9.007667,7.2988343,0,8.571022,4.451144
226,A_PuertoRico_8_1934_NP_253_544,0.25641903,5.930316,1,2.5819721,5.142653
227,A_PuertoRico_8_1934_NP_270_1306,3.9161537,7.058692,1,2.5819721,5.142653
228,A_PuertoRico_8_1934_NP_290_1315,7.537704,4.2582636,0,8.571022,4.451144
229,A_PuertoRico_8_1934_NP_292_1359,2.242532,5.00594,1,2.5819721,5.142653
230,A_PuertoRico_8_1934_NP_296_531,3.589507,4.605751,1,2.5819721,5.142653
231,A_PuertoRico_8_1934_NP_299_1103,4.880595,4.0847683,1,2.5819721,5.142653
232,A_PuertoRico_8_1934_NP_327_1228,9.475729,5.795879,0,8.571022,4.451144
233,A_PuertoRico_8_1934_NP_329_1372,2.7981048,5.45165,1,2.5819721,5.142653
234,A_PuertoRico_8_1934_NP_356_1397,0.5197487,5.3643303,1,2.5819721,5.142653
235,A_PuertoRico_8_1934_NP_396_1384,0.55664206,4.740104,1,2.5819721,5.142653
236,A_PuertoRico_8_1934_NP_404_1361,0.43167144,4.672866,1,2.5819721,5.142653
237,A_PuertoRico_8_1934_NP_432_1525,7.855861,5.522837,0,8.571022,4.451144
238,A_PuertoRico_8_1934_NP_447_1046,3.6488037,5.2973595,1,2.5819721,5.142653
239,A_PuertoRico_8_1934_NP_465_1365,2.9706662,6.44429,1,2.5819721,5.142653
240,A_PuertoRico_8_1934_NP_481_1390,-0.018594077,5.231004,1,2.5819721,5.142653
241,A_PuertoRico_8_1934_NP_495_1349,3.8006568,5.7691436,1,2.5819721,5.142653
242,A_PuertoRico_8_1934_NP_496_1530,5.7426896,4.9115353,0,8.571022,4.451144
243,A_PuertoRico_8_1934_NP_497_1371,4.544447,4.685426,1,2.5819721,5.142653
244,A_PuertoRico_8_1934_NP_506_1445,3.9729946,4.6919136,1,2.5819721,5.142653
245,A_PuertoRico_8_1934_NP_508_1447,-0.10149377,6.3543954,1,2.5819721,5.142653
246,A_PuertoRico_8_1934_NP_561_1446,3.717079,8.044504,1,2.5819721,5.142653
247,A_PuertoRico_8_1934_NP_564_1303,4.3006854,5.4110975,1,2.5819721,5.142653
248,A_PuertoRico_8_1934_NP_764_1392,7.179811,5.158031,0,8.571022,4.451144
249,A_PuertoRico_8_1934_NS_125_674,2.6173089,4.9230204,1,2.5819721,5.142653
250,A_PuertoRico_8_1934_NS_145_462,9.009879,2.5325172,0,8.571022,4.451144
251,A_PuertoRico_8_1934_NS_158_730,7.4344773,5.2163396,0,8.571022,4.451144
252,A_PuertoRico_8_1934_NS_189_575,0.59262705,5.9156895,1,2.5819721,5.142653
253,A_PuertoRico_8_1934_NS_219_641,-0.36759913,4.8051906,1,2.5819721,5.142653
254,A_PuertoRico_8_1934_NS_238_834,7.4397063,5.174229,0,8.571022,4.451144
255,A_PuertoRico_8_1934_NS_324_551,6.8189025,3.2037978,0,8.571022,4.451144
256,A_PuertoRico_8_1934_NS_345_415,6.938949,6.456498,0,8.571022,4.451144
257,A_PuertoRico_8_1934_NS_56_431,1.7058326,6.6278124,1,2.5819721,5.142653
258,A_PuertoRico_8_1934_NS_57_530,2.333417,4.703685,1,2.5819721,5.142653
259,A_PuertoRico_8_1934_NS_614_640,5.5755925,2.9232025,0,8.571022,4.451144
260,A_PuertoRico_8_1934_PA_100_2065,4.1404138,5.7986836,1,2.5819721,5.142653
261,A_PuertoRico_8_1934_PA_1034_1982,4.2294483,7.1887813,1,2.5819721,5.142653
262,A_PuertoRico_8_1934_PA_104_1914,9.6551285,5.8216386,0,8.571022,4.451144
263,A_PuertoRico_8_1934_PA_108_1976,-0.3361087,6.1173553,1,2.5819721,5.142653
264,A_PuertoRico_8_1934_PA_108_2020,-0.25529882,6.1299553,1,2.5819721,5.142653
265,A_PuertoRico_8_1934_PA_110_139,11.027194,6.1764536,0,8.571022,4.451144
266,A_PuertoRico_8_1934_PA_110_1960,11.306344,6.276839,0,8.571022,4.451144
267,A_PuertoRico_8_1934_PA_110_2056,8.749145,7.405445,0,8.571022,4.451144
268,A_PuertoRico_8_1934_PA_111_2053,3.2639112,7.673456,1,2.5819721,5.142653
269,A_PuertoRico_8_1934_PA_112_2042,10.013123,6.033812,0,8.571022,4.451144
270,A_PuertoRico_8_1934_PA_114_1969,2.3843784,5.3515577,1,2.5819721,5.142653
271,A_PuertoRico_8_1934_PA_117_143,6.4616923,2.6760557,0,8.571022,4.451144
272,A_PuertoRico_8_1934_PA_118_1914,9.776952,5.9200788,0,8.571022,4.451144
273,A_PuertoRico_8_1934_PA_119_150,3.5309033,7.449583,1,2.5819721,5.142653
274,A_PuertoRico_8_1934_PA_119_158,3.49645,6.9597554,1,2.5819721,5.142653
275,A_PuertoRico_8_1934_PA_119_165,3.3473008,7.0745764,1,2.5819721,5.142653
276,A_PuertoRico_8_1934_PA_119_1809,3.512679,6.795604,1,2.5819721,5.142653
277,A_PuertoRico_8_1934_PA_119_1845,3.3898,6.948537,1,2.5819721,5.142653
278,A_PuertoRico_8_1934_PA_119_2074,3.5669432,8.117193,1,2.5819721,5.142653
279,A_PuertoRico_8_1934_PA_120_143,10.234181,7.3550034,0,8.571022,4.451144
280,A_PuertoRico_8_1934_PA_120_147,10.268343,7.3218627,0,8.571022,4.451144
281,A_PuertoRico_8_1934_PA_120_157,11.240562,6.4310412,0,8.571022,4.451144
282,A_PuertoRico_8_1934_PA_120_164,10.370425,7.2582626,0,8.571022,4.451144
283,A_PuertoRico_8_1934_PA_120_1667,10.867017,5.955307,0,8.571022,4.451144
284,A_PuertoRico_8_1934_PA_120_168,11.094323,6.50605,0,8.571022,4.451144
285,A_PuertoRico_8_1934_PA_120_172,10.237738,7.3312535,0,8.571022,4.451144
286,A_PuertoRico_8_1934_PA_120_1799,10.191466,5.856245,0,8.571022,4.451144
287,A_PuertoRico_8_1934_PA_120_180,10.277052,7.3687797,0,8.571022,4.451144
288,A_PuertoRico_8_1934_PA_120_1844,10.654008,5.785412,0,8.571022,4.451144
289,A_PuertoRico_8_1934_PA_120_185,10.497347,7.211536,0,8.571022,4.451144
290,A_PuertoRico_8_1934_PA_120_1870,10.152008,6.002487,0,8.571022,4.451144
291,A_PuertoRico_8_1934_PA_120_1873,9.980167,7.0414915,0,8.571022,4.451144
292,A_PuertoRico_8_1934_PA_120_1879,10.801795,5.5088983,0,8.571022,4.451144
293,A_PuertoRico_8_1934_PA_120_1906,9.104458,7.0919304,0,8.571022,4.451144
