Segment,Start,End,NGS_read_count,ACC_num,Context,Compartment,Resolution,Replicate
PB1,611,1741,55,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,611,1744,152,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,623,1757,103,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,624,1745,51,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,627,1772,145,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,630,1777,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,633,1708,4,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,641,1720,7,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,644,1700,3,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,644,1737,30,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,644,1758,115,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,645,1759,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,670,1630,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,676,1708,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,686,1943,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,690,1695,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,694,1736,6,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,695,1724,59,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,697,1594,8,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,701,1585,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,702,1595,53,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,715,1916,48,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,722,1574,34,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,728,1561,63,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,728,1737,59,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,730,1675,28,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,769,1512,10,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,770,2059,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,772,1698,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,775,1701,3,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,794,1495,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,795,1490,19,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,795,1535,20,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,796,1518,14,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,798,1489,15,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,798,1534,19,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,799,1496,25,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,799,1576,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,800,1611,15,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,801,1699,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,822,1445,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,829,1495,59,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,832,1506,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,832,1836,3,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,840,1448,76,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,848,1488,24,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,848,1560,5,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,848,1568,14,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,867,1589,12,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,871,1448,12,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,872,1611,4,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,875,1942,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,89,1938,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,904,1497,10,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,906,1446,25,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,909,1625,12,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,90,2215,8,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,91,502,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,92,2030,225,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,945,1771,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,946,2047,3,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,950,1775,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB1,961,1626,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1006,1638,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1006,1862,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1015,2129,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1018,1881,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1042,2291,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1115,1398,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1121,2002,4,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1168,1682,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1173,2266,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1180,1860,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1186,1366,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1205,1870,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1207,1437,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1239,1970,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1313,1992,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1346,2035,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1347,1660,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,135,586,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1387,1878,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1392,1994,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1394,2227,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,149,286,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,152,1402,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1544,2122,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,164,2144,27,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,164,2211,30,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1696,2256,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1698,1792,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,1738,2089,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,176,1304,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,178,2270,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,191,2191,26,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,192,2192,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,2005,2325,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,2016,2052,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,203,2146,8,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,213,1524,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,213,338,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,214,251,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,216,1456,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,2237,2265,10,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,236,1974,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,243,2142,6,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,244,1912,30,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,244,2125,12,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,244,2144,122,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,244,2206,70,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,245,2213,5,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,250,299,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,251,2123,48,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,270,1836,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,277,1090,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,291,1632,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,301,836,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,303,1911,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,304,1309,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,304,891,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,312,2020,81,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,316,2024,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,330,1980,18,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,335,1411,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,342,1524,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,356,906,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,364,1956,130,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,391,1392,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,394,1936,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,395,1937,1237,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,397,1927,206,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,398,1868,184,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,401,2210,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,405,1889,101,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,406,1890,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,411,1958,68,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,418,2036,5,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,425,2139,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,428,1959,5,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,433,1877,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,443,1907,29,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,444,1878,11,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,446,2022,533,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,448,617,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,449,2055,8,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,44,2070,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,453,1777,468,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,454,1778,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,457,2058,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,457,2080,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,459,2064,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,45,1501,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,461,493,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,481,2007,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,50,617,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,528,1739,6,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,537,1880,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,564,1784,75,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,576,1087,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,577,1963,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,583,992,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,594,2080,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,600,1711,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,605,1655,10,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,608,1747,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,610,2070,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,612,765,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,613,706,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,618,1736,12,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,631,1283,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,635,1707,347,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,647,1740,16,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,706,2314,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,723,1436,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,734,2055,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,740,1152,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,748,2068,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,771,1541,7,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,77,238,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,854,1413,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,965,1176,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,994,1363,1,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,997,1370,2,SRR15183338,in vivo,extracellular,bulk,1-1
PB2,999,2008,1,SRR15183338,in vivo,extracellular,bulk,1-1
PA,1588,2063,1,SRR15183338,in vivo,extracellular,bulk,1-1
PA,178,1519,4,SRR15183338,in vivo,extracellular,bulk,1-1
PA,213,1448,124,SRR15183338,in vivo,extracellular,bulk,1-1
PA,213,2035,1,SRR15183338,in vivo,extracellular,bulk,1-1
PA,222,2127,44,SRR15183338,in vivo,extracellular,bulk,1-1
PA,223,2069,41,SRR15183338,in vivo,extracellular,bulk,1-1
PA,244,2044,5,SRR15183338,in vivo,extracellular,bulk,1-1
PA,372,1857,1,SRR15183338,in vivo,extracellular,bulk,1-1
PA,413,1856,77,SRR15183338,in vivo,extracellular,bulk,1-1
PA,416,1904,28,SRR15183338,in vivo,extracellular,bulk,1-1
PA,418,1854,1,SRR15183338,in vivo,extracellular,bulk,1-1
PA,418,1884,7,SRR15183338,in vivo,extracellular,bulk,1-1
PA,421,1857,308,SRR15183338,in vivo,extracellular,bulk,1-1
PA,426,1856,10,SRR15183338,in vivo,extracellular,bulk,1-1
PA,42,72,17,SRR15183338,in vivo,extracellular,bulk,1-1
PA,437,1635,1,SRR15183338,in vivo,extracellular,bulk,1-1
PA,438,1862,99,SRR15183338,in vivo,extracellular,bulk,1-1
PA,439,1637,34,SRR15183338,in vivo,extracellular,bulk,1-1
PA,439,1812,5,SRR15183338,in vivo,extracellular,bulk,1-1
PA,439,1863,1,SRR15183338,in vivo,extracellular,bulk,1-1
PA,455,1863,18,SRR15183338,in vivo,extracellular,bulk,1-1
PA,463,1822,28,SRR15183338,in vivo,extracellular,bulk,1-1
PA,502,1906,5,SRR15183338,in vivo,extracellular,bulk,1-1
PA,503,1811,28,SRR15183338,in vivo,extracellular,bulk,1-1
PA,505,1079,2,SRR15183338,in vivo,extracellular,bulk,1-1
PA,514,1811,37,SRR15183338,in vivo,extracellular,bulk,1-1
PA,514,1856,164,SRR15183338,in vivo,extracellular,bulk,1-1
PA,514,1860,113,SRR15183338,in vivo,extracellular,bulk,1-1
PA,516,1810,80,SRR15183338,in vivo,extracellular,bulk,1-1
PA,518,1728,58,SRR15183338,in vivo,extracellular,bulk,1-1
PA,531,1792,4,SRR15183338,in vivo,extracellular,bulk,1-1
PA,541,1781,3,SRR15183338,in vivo,extracellular,bulk,1-1
PA,581,1734,32,SRR15183338,in vivo,extracellular,bulk,1-1
PA,635,1833,21,SRR15183338,in vivo,extracellular,bulk,1-1
PA,63,1150,1,SRR15183338,in vivo,extracellular,bulk,1-1
PA,708,1682,35,SRR15183338,in vivo,extracellular,bulk,1-1
PA,717,1752,1,SRR15183338,in vivo,extracellular,bulk,1-1
PA,763,1564,2,SRR15183338,in vivo,extracellular,bulk,1-1
PA,793,1504,2,SRR15183338,in vivo,extracellular,bulk,1-1
PA,799,1632,5,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1007,1414,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1026,1081,2,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1080,1318,2,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1082,1323,2,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1120,1488,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1124,1581,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,116,1068,2,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1212,1580,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1279,1322,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1298,1485,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1347,1689,2,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1358,1479,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1437,1802,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,144,870,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,1498,1556,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,175,1428,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,180,994,1,SRR15183338,in vivo,extracellular,bulk,1-1
HA,212,1532,1,SRR15183338,in vivo,extracellular,bulk,1-1
