Segment,Start,End,NGS_read_count,ACC_num,Cells,Context,Compartment,Resolution
M,856,899,1,SRR10013237,human,in vivo,extracellular,bulk
NA,102,1269,1,SRR10013237,human,in vivo,extracellular,bulk
NA,105,1304,3,SRR10013237,human,in vivo,extracellular,bulk
NA,1184,1319,1,SRR10013237,human,in vivo,extracellular,bulk
NA,233,282,1,SRR10013237,human,in vivo,extracellular,bulk
NA,235,1361,2,SRR10013237,human,in vivo,extracellular,bulk
NA,245,577,1,SRR10013237,human,in vivo,extracellular,bulk
NA,246,268,1,SRR10013237,human,in vivo,extracellular,bulk
NA,273,1108,1,SRR10013237,human,in vivo,extracellular,bulk
NA,327,1221,1,SRR10013237,human,in vivo,extracellular,bulk
NA,344,1188,3,SRR10013237,human,in vivo,extracellular,bulk
NA,404,1017,1,SRR10013237,human,in vivo,extracellular,bulk
NA,455,1312,2,SRR10013237,human,in vivo,extracellular,bulk
NA,465,1186,1,SRR10013237,human,in vivo,extracellular,bulk
NA,465,596,1,SRR10013237,human,in vivo,extracellular,bulk
NA,496,1075,1,SRR10013237,human,in vivo,extracellular,bulk
NA,511,546,1,SRR10013237,human,in vivo,extracellular,bulk
NA,622,645,1,SRR10013237,human,in vivo,extracellular,bulk
NA,725,883,1,SRR10013237,human,in vivo,extracellular,bulk
NA,743,775,1,SRR10013237,human,in vivo,extracellular,bulk
NA,76,1303,1,SRR10013237,human,in vivo,extracellular,bulk
NP,1030,1142,1,SRR10013237,human,in vivo,extracellular,bulk
NP,123,1446,1,SRR10013237,human,in vivo,extracellular,bulk
NP,134,1386,2,SRR10013237,human,in vivo,extracellular,bulk
NP,137,1384,3,SRR10013237,human,in vivo,extracellular,bulk
NP,161,1426,1,SRR10013237,human,in vivo,extracellular,bulk
NP,250,1661,1,SRR10013237,human,in vivo,extracellular,bulk
NP,392,1461,1,SRR10013237,human,in vivo,extracellular,bulk
NP,462,1537,1,SRR10013237,human,in vivo,extracellular,bulk
NP,578,1041,1,SRR10013237,human,in vivo,extracellular,bulk
NP,833,1261,1,SRR10013237,human,in vivo,extracellular,bulk
NS,319,642,1,SRR10013237,human,in vivo,extracellular,bulk
NS,613,800,1,SRR10013237,human,in vivo,extracellular,bulk
NS,696,721,1,SRR10013237,human,in vivo,extracellular,bulk
NS,699,995,1,SRR10013237,human,in vivo,extracellular,bulk
NS,778,945,1,SRR10013237,human,in vivo,extracellular,bulk
PA,1016,1193,1,SRR10013237,human,in vivo,extracellular,bulk
PA,101,2145,2,SRR10013237,human,in vivo,extracellular,bulk
PA,1150,1311,1,SRR10013237,human,in vivo,extracellular,bulk
PA,1234,1403,1,SRR10013237,human,in vivo,extracellular,bulk
PA,1248,1313,1,SRR10013237,human,in vivo,extracellular,bulk
PA,1261,1706,1,SRR10013237,human,in vivo,extracellular,bulk
PA,151,1514,1,SRR10013237,human,in vivo,extracellular,bulk
PA,152,1845,3,SRR10013237,human,in vivo,extracellular,bulk
PA,159,190,1,SRR10013237,human,in vivo,extracellular,bulk
PA,182,1167,1,SRR10013237,human,in vivo,extracellular,bulk
PA,1875,1971,2,SRR10013237,human,in vivo,extracellular,bulk
PA,197,2042,3,SRR10013237,human,in vivo,extracellular,bulk
PA,207,1971,5,SRR10013237,human,in vivo,extracellular,bulk
PA,219,1993,3,SRR10013237,human,in vivo,extracellular,bulk
PA,245,640,1,SRR10013237,human,in vivo,extracellular,bulk
PA,251,1388,1,SRR10013237,human,in vivo,extracellular,bulk
PA,263,2061,1,SRR10013237,human,in vivo,extracellular,bulk
PA,275,851,1,SRR10013237,human,in vivo,extracellular,bulk
PA,299,2063,2,SRR10013237,human,in vivo,extracellular,bulk
PA,311,1845,1,SRR10013237,human,in vivo,extracellular,bulk
PA,315,447,2,SRR10013237,human,in vivo,extracellular,bulk
PA,316,1652,2,SRR10013237,human,in vivo,extracellular,bulk
PA,319,1160,1,SRR10013237,human,in vivo,extracellular,bulk
PA,322,1910,1,SRR10013237,human,in vivo,extracellular,bulk
PA,329,1830,1,SRR10013237,human,in vivo,extracellular,bulk
PA,330,1987,2,SRR10013237,human,in vivo,extracellular,bulk
PA,353,1937,1,SRR10013237,human,in vivo,extracellular,bulk
PA,353,1959,1,SRR10013237,human,in vivo,extracellular,bulk
PA,354,1372,2,SRR10013237,human,in vivo,extracellular,bulk
PA,357,1864,1,SRR10013237,human,in vivo,extracellular,bulk
PA,375,1904,2,SRR10013237,human,in vivo,extracellular,bulk
PA,379,1898,2,SRR10013237,human,in vivo,extracellular,bulk
PA,40,627,1,SRR10013237,human,in vivo,extracellular,bulk
PA,419,1006,1,SRR10013237,human,in vivo,extracellular,bulk
PA,419,1822,1,SRR10013237,human,in vivo,extracellular,bulk
PA,421,1878,1,SRR10013237,human,in vivo,extracellular,bulk
PA,423,1822,1,SRR10013237,human,in vivo,extracellular,bulk
PA,426,1870,5,SRR10013237,human,in vivo,extracellular,bulk
PA,467,1966,1,SRR10013237,human,in vivo,extracellular,bulk
PA,475,1358,1,SRR10013237,human,in vivo,extracellular,bulk
PA,48,75,2,SRR10013237,human,in vivo,extracellular,bulk
PA,511,2048,1,SRR10013237,human,in vivo,extracellular,bulk
PA,527,1839,1,SRR10013237,human,in vivo,extracellular,bulk
PA,52,1172,1,SRR10013237,human,in vivo,extracellular,bulk
PA,551,1827,1,SRR10013237,human,in vivo,extracellular,bulk
PA,554,1906,2,SRR10013237,human,in vivo,extracellular,bulk
PA,562,1734,1,SRR10013237,human,in vivo,extracellular,bulk
PA,563,1847,1,SRR10013237,human,in vivo,extracellular,bulk
PA,61,1647,1,SRR10013237,human,in vivo,extracellular,bulk
PA,700,1519,1,SRR10013237,human,in vivo,extracellular,bulk
PA,733,1160,1,SRR10013237,human,in vivo,extracellular,bulk
PA,777,1647,1,SRR10013237,human,in vivo,extracellular,bulk
PA,998,1752,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,100,2144,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,1021,1775,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,102,2042,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,102,904,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,1335,2056,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,1407,2045,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,149,1228,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,1591,1730,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,1591,1863,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,209,2053,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,219,1778,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,220,2151,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,221,2066,3,SRR10013237,human,in vivo,extracellular,bulk
PB1,224,2144,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,225,2151,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,268,2045,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,269,1896,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,272,1895,3,SRR10013237,human,in vivo,extracellular,bulk
PB1,276,1897,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,276,2045,6,SRR10013237,human,in vivo,extracellular,bulk
PB1,276,2069,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,278,1896,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,279,2059,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,326,2151,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,339,2091,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,365,1016,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,365,1680,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,367,2084,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,36,1783,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,381,1882,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,382,1865,4,SRR10013237,human,in vivo,extracellular,bulk
PB1,382,1976,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,383,1866,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,387,1397,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,396,1850,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,400,1789,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,402,1864,3,SRR10013237,human,in vivo,extracellular,bulk
PB1,422,1772,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,465,1788,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,474,1851,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,559,1781,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,562,1655,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,565,1784,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,574,1779,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,578,1740,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,594,1426,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,603,1738,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,604,1736,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,783,2071,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,799,1566,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,803,1182,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,85,114,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,867,1549,2,SRR10013237,human,in vivo,extracellular,bulk
PB1,873,1795,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,886,1475,1,SRR10013237,human,in vivo,extracellular,bulk
PB1,906,2030,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,1037,2058,3,SRR10013237,human,in vivo,extracellular,bulk
PB2,1044,2035,3,SRR10013237,human,in vivo,extracellular,bulk
PB2,1243,1724,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,1245,1726,2,SRR10013237,human,in vivo,extracellular,bulk
PB2,1534,1987,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,2080,2109,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,216,2121,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,222,2110,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,222,2122,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,222,2136,2,SRR10013237,human,in vivo,extracellular,bulk
PB2,274,1286,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,312,1991,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,428,1712,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,47,936,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,527,1619,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,559,1619,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,717,2263,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,726,2046,2,SRR10013237,human,in vivo,extracellular,bulk
PB2,729,1717,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,730,2050,2,SRR10013237,human,in vivo,extracellular,bulk
PB2,735,1478,3,SRR10013237,human,in vivo,extracellular,bulk
PB2,744,1373,1,SRR10013237,human,in vivo,extracellular,bulk
PB2,744,1702,1,SRR10013237,human,in vivo,extracellular,bulk
HA,1316,1809,1,SRR10013181,human,in vivo,extracellular,bulk
HA,66,1109,1,SRR10013181,human,in vivo,extracellular,bulk
HA,79,1098,1,SRR10013181,human,in vivo,extracellular,bulk
HA,988,1673,1,SRR10013181,human,in vivo,extracellular,bulk
M,147,206,1,SRR10013181,human,in vivo,extracellular,bulk
M,160,191,1,SRR10013181,human,in vivo,extracellular,bulk
M,180,942,1,SRR10013181,human,in vivo,extracellular,bulk
M,220,895,1,SRR10013181,human,in vivo,extracellular,bulk
M,252,503,1,SRR10013181,human,in vivo,extracellular,bulk
M,294,953,3,SRR10013181,human,in vivo,extracellular,bulk
M,313,960,1,SRR10013181,human,in vivo,extracellular,bulk
M,318,966,1,SRR10013181,human,in vivo,extracellular,bulk
M,327,377,1,SRR10013181,human,in vivo,extracellular,bulk
M,327,974,1,SRR10013181,human,in vivo,extracellular,bulk
M,332,375,1,SRR10013181,human,in vivo,extracellular,bulk
M,332,376,1,SRR10013181,human,in vivo,extracellular,bulk
M,340,370,1,SRR10013181,human,in vivo,extracellular,bulk
M,362,407,2,SRR10013181,human,in vivo,extracellular,bulk
M,396,580,1,SRR10013181,human,in vivo,extracellular,bulk
M,468,549,1,SRR10013181,human,in vivo,extracellular,bulk
M,488,754,1,SRR10013181,human,in vivo,extracellular,bulk
M,498,567,1,SRR10013181,human,in vivo,extracellular,bulk
M,620,682,1,SRR10013181,human,in vivo,extracellular,bulk
NA,1014,1057,1,SRR10013181,human,in vivo,extracellular,bulk
NA,213,428,1,SRR10013181,human,in vivo,extracellular,bulk
NA,224,290,1,SRR10013181,human,in vivo,extracellular,bulk
NA,261,361,1,SRR10013181,human,in vivo,extracellular,bulk
NA,302,1151,1,SRR10013181,human,in vivo,extracellular,bulk
NA,344,1188,3,SRR10013181,human,in vivo,extracellular,bulk
NA,572,710,7,SRR10013181,human,in vivo,extracellular,bulk
NA,698,728,1,SRR10013181,human,in vivo,extracellular,bulk
NA,771,1183,1,SRR10013181,human,in vivo,extracellular,bulk
NA,989,1023,1,SRR10013181,human,in vivo,extracellular,bulk
NP,134,1386,1,SRR10013181,human,in vivo,extracellular,bulk
NP,1665,1697,1,SRR10013181,human,in vivo,extracellular,bulk
NP,173,921,1,SRR10013181,human,in vivo,extracellular,bulk
NP,197,1675,1,SRR10013181,human,in vivo,extracellular,bulk
NP,343,1709,1,SRR10013181,human,in vivo,extracellular,bulk
NP,361,1541,1,SRR10013181,human,in vivo,extracellular,bulk
NP,639,777,1,SRR10013181,human,in vivo,extracellular,bulk
NP,670,1787,1,SRR10013181,human,in vivo,extracellular,bulk
NP,788,1410,3,SRR10013181,human,in vivo,extracellular,bulk
NP,95,175,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1042,1549,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1183,1708,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1246,1331,2,SRR10013181,human,in vivo,extracellular,bulk
PA,138,856,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1581,1842,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1635,1850,1,SRR10013181,human,in vivo,extracellular,bulk
PA,165,237,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1661,1690,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1828,2005,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1843,1892,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1906,1958,1,SRR10013181,human,in vivo,extracellular,bulk
PA,194,1423,1,SRR10013181,human,in vivo,extracellular,bulk
PA,1952,2125,1,SRR10013181,human,in vivo,extracellular,bulk
PA,206,2019,1,SRR10013181,human,in vivo,extracellular,bulk
PA,214,2026,1,SRR10013181,human,in vivo,extracellular,bulk
PA,221,1439,1,SRR10013181,human,in vivo,extracellular,bulk
PA,229,916,2,SRR10013181,human,in vivo,extracellular,bulk
PA,256,1419,1,SRR10013181,human,in vivo,extracellular,bulk
PA,266,1429,3,SRR10013181,human,in vivo,extracellular,bulk
PA,271,544,1,SRR10013181,human,in vivo,extracellular,bulk
PA,281,1435,1,SRR10013181,human,in vivo,extracellular,bulk
PA,282,315,1,SRR10013181,human,in vivo,extracellular,bulk
PA,282,446,1,SRR10013181,human,in vivo,extracellular,bulk
PA,285,1121,1,SRR10013181,human,in vivo,extracellular,bulk
PA,319,2075,1,SRR10013181,human,in vivo,extracellular,bulk
PA,324,537,1,SRR10013181,human,in vivo,extracellular,bulk
PA,470,972,1,SRR10013181,human,in vivo,extracellular,bulk
PA,471,1235,2,SRR10013181,human,in vivo,extracellular,bulk
PA,53,245,1,SRR10013181,human,in vivo,extracellular,bulk
PA,608,1147,1,SRR10013181,human,in vivo,extracellular,bulk
PA,631,1085,1,SRR10013181,human,in vivo,extracellular,bulk
PA,751,1448,5,SRR10013181,human,in vivo,extracellular,bulk
PA,778,802,2,SRR10013181,human,in vivo,extracellular,bulk
PA,876,1552,1,SRR10013181,human,in vivo,extracellular,bulk
PA,878,1238,5,SRR10013181,human,in vivo,extracellular,bulk
PA,91,164,1,SRR10013181,human,in vivo,extracellular,bulk
PA,952,1261,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,1167,1831,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,1254,1490,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,290,2175,8,SRR10013181,human,in vivo,extracellular,bulk
PB1,291,1366,6,SRR10013181,human,in vivo,extracellular,bulk
PB1,326,2162,52,SRR10013181,human,in vivo,extracellular,bulk
PB1,367,1900,2,SRR10013181,human,in vivo,extracellular,bulk
PB1,381,1900,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,409,1084,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,427,1851,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,480,1861,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,590,1459,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,70,1820,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,71,456,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,874,994,2,SRR10013181,human,in vivo,extracellular,bulk
PB1,894,1007,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,909,2057,1,SRR10013181,human,in vivo,extracellular,bulk
PB1,916,1459,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,100,2122,43,SRR10013181,human,in vivo,extracellular,bulk
PB2,1065,2022,2,SRR10013181,human,in vivo,extracellular,bulk
PB2,1071,1626,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,1080,1193,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,108,1947,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,1231,1684,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,1241,1476,2,SRR10013181,human,in vivo,extracellular,bulk
PB2,1243,1724,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,1376,1635,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,1578,1792,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,1973,2311,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,225,554,2,SRR10013181,human,in vivo,extracellular,bulk
PB2,261,557,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,297,2124,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,371,393,2,SRR10013181,human,in vivo,extracellular,bulk
PB2,574,1490,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,588,2048,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,699,856,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,726,2046,2,SRR10013181,human,in vivo,extracellular,bulk
PB2,744,1373,2,SRR10013181,human,in vivo,extracellular,bulk
PB2,753,1051,1,SRR10013181,human,in vivo,extracellular,bulk
PB2,868,1724,1,SRR10013181,human,in vivo,extracellular,bulk
HA,1157,1690,1,SRR10013242,human,in vivo,extracellular,bulk
HA,200,1118,1,SRR10013242,human,in vivo,extracellular,bulk
HA,202,1000,1,SRR10013242,human,in vivo,extracellular,bulk
HA,202,1130,1,SRR10013242,human,in vivo,extracellular,bulk
HA,202,1514,1,SRR10013242,human,in vivo,extracellular,bulk
HA,815,1742,1,SRR10013242,human,in vivo,extracellular,bulk
HA,939,962,1,SRR10013242,human,in vivo,extracellular,bulk
HA,949,1075,1,SRR10013242,human,in vivo,extracellular,bulk
HA,99,618,1,SRR10013242,human,in vivo,extracellular,bulk
M,132,1052,1,SRR10013242,human,in vivo,extracellular,bulk
M,136,1012,2,SRR10013242,human,in vivo,extracellular,bulk
M,143,586,2,SRR10013242,human,in vivo,extracellular,bulk
M,170,299,1,SRR10013242,human,in vivo,extracellular,bulk
M,189,355,1,SRR10013242,human,in vivo,extracellular,bulk
M,195,522,1,SRR10013242,human,in vivo,extracellular,bulk
M,240,493,1,SRR10013242,human,in vivo,extracellular,bulk
M,248,479,1,SRR10013242,human,in vivo,extracellular,bulk
M,248,562,1,SRR10013242,human,in vivo,extracellular,bulk
M,252,503,1,SRR10013242,human,in vivo,extracellular,bulk
M,276,523,1,SRR10013242,human,in vivo,extracellular,bulk
M,279,568,2,SRR10013242,human,in vivo,extracellular,bulk
M,289,671,1,SRR10013242,human,in vivo,extracellular,bulk
M,290,945,1,SRR10013242,human,in vivo,extracellular,bulk
M,301,611,1,SRR10013242,human,in vivo,extracellular,bulk
M,313,538,1,SRR10013242,human,in vivo,extracellular,bulk
M,333,644,1,SRR10013242,human,in vivo,extracellular,bulk
M,341,868,2,SRR10013242,human,in vivo,extracellular,bulk
M,348,812,1,SRR10013242,human,in vivo,extracellular,bulk
M,35,649,1,SRR10013242,human,in vivo,extracellular,bulk
M,488,824,1,SRR10013242,human,in vivo,extracellular,bulk
M,498,567,1,SRR10013242,human,in vivo,extracellular,bulk
M,540,804,1,SRR10013242,human,in vivo,extracellular,bulk
M,57,609,1,SRR10013242,human,in vivo,extracellular,bulk
M,582,702,1,SRR10013242,human,in vivo,extracellular,bulk
M,588,858,1,SRR10013242,human,in vivo,extracellular,bulk
M,606,889,1,SRR10013242,human,in vivo,extracellular,bulk
M,61,547,2,SRR10013242,human,in vivo,extracellular,bulk
M,620,706,1,SRR10013242,human,in vivo,extracellular,bulk
M,643,707,1,SRR10013242,human,in vivo,extracellular,bulk
M,66,703,1,SRR10013242,human,in vivo,extracellular,bulk
M,71,569,1,SRR10013242,human,in vivo,extracellular,bulk
M,74,567,1,SRR10013242,human,in vivo,extracellular,bulk
M,83,567,2,SRR10013242,human,in vivo,extracellular,bulk
M,900,964,3,SRR10013242,human,in vivo,extracellular,bulk
M,957,1036,1,SRR10013242,human,in vivo,extracellular,bulk
NA,1047,1152,1,SRR10013242,human,in vivo,extracellular,bulk
NA,111,769,1,SRR10013242,human,in vivo,extracellular,bulk
NA,1133,1291,1,SRR10013242,human,in vivo,extracellular,bulk
NA,1162,1319,1,SRR10013242,human,in vivo,extracellular,bulk
NA,1164,1310,1,SRR10013242,human,in vivo,extracellular,bulk
NA,1373,1475,1,SRR10013242,human,in vivo,extracellular,bulk
NA,181,814,1,SRR10013242,human,in vivo,extracellular,bulk
NA,184,700,1,SRR10013242,human,in vivo,extracellular,bulk
NA,211,1298,1,SRR10013242,human,in vivo,extracellular,bulk
NA,212,505,1,SRR10013242,human,in vivo,extracellular,bulk
NA,235,1361,1,SRR10013242,human,in vivo,extracellular,bulk
NA,247,669,1,SRR10013242,human,in vivo,extracellular,bulk
NA,252,793,1,SRR10013242,human,in vivo,extracellular,bulk
NA,260,1012,1,SRR10013242,human,in vivo,extracellular,bulk
NA,260,1073,1,SRR10013242,human,in vivo,extracellular,bulk
NA,273,1004,1,SRR10013242,human,in vivo,extracellular,bulk
NA,274,1324,1,SRR10013242,human,in vivo,extracellular,bulk
NA,293,808,1,SRR10013242,human,in vivo,extracellular,bulk
NA,298,1167,1,SRR10013242,human,in vivo,extracellular,bulk
NA,299,1427,3,SRR10013242,human,in vivo,extracellular,bulk
NA,300,763,1,SRR10013242,human,in vivo,extracellular,bulk
NA,343,1226,1,SRR10013242,human,in vivo,extracellular,bulk
NA,344,1188,2,SRR10013242,human,in vivo,extracellular,bulk
NA,362,1353,1,SRR10013242,human,in vivo,extracellular,bulk
NA,375,449,1,SRR10013242,human,in vivo,extracellular,bulk
NA,380,1064,3,SRR10013242,human,in vivo,extracellular,bulk
NA,380,1069,1,SRR10013242,human,in vivo,extracellular,bulk
NA,380,1310,2,SRR10013242,human,in vivo,extracellular,bulk
NA,387,937,1,SRR10013242,human,in vivo,extracellular,bulk
NA,393,636,2,SRR10013242,human,in vivo,extracellular,bulk
NA,399,1225,1,SRR10013242,human,in vivo,extracellular,bulk
NA,404,1017,2,SRR10013242,human,in vivo,extracellular,bulk
