Segment,Start,End,NGS_read_count,ACC_num,Replicate,Cells,Context,Compartment,Resolution,Time
HA,1405,1757,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,142,1470,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1479,1527,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,147,1550,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,151,181,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,153,1563,8,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1540,1621,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1553,1602,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1637,1703,18,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1638,1704,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,1644,1713,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,169,1544,72,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,177,1490,9,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,179,1327,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,182,1462,7,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,195,1399,43,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,204,718,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,205,1421,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,207,1423,15,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,244,1349,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,256,1423,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,258,1393,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,264,676,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,267,1441,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,267,1460,9,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,276,1380,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,283,1491,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,305,1441,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,309,353,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,310,1256,6,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,316,1375,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,326,1414,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,330,1198,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,336,370,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,348,1391,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,355,1602,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,369,1344,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,396,1035,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,414,1109,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,438,1094,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,441,1325,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,447,1211,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,465,1430,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,467,546,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,484,1289,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,487,1158,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,491,1360,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,501,768,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,516,608,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,540,968,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,543,1179,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,544,1524,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,547,585,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,548,1124,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,555,1426,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,560,1113,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,572,1194,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,572,1661,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,610,1426,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,626,1541,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,631,1488,7,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,636,1153,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,636,1630,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,656,1244,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,676,994,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,710,1030,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,710,1097,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,719,1046,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,720,1021,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,726,1267,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,728,898,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,738,844,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,738,970,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,789,1120,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,789,1346,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,809,1250,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,821,1086,5,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,821,1351,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,824,1034,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,852,1009,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,854,1143,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,893,1156,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,933,1630,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,940,985,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,943,987,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
HA,976,1715,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,137,919,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,146,953,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,152,925,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,160,755,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,166,830,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,171,818,8,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,181,381,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,185,216,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,185,802,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,193,552,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,194,553,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,26,642,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,275,349,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,290,313,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,298,357,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,318,707,6,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,325,441,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,334,489,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,371,650,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,372,426,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,373,448,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,373,775,12,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,375,428,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,387,612,51,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,387,626,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,387,634,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,387,637,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,387,640,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,397,655,6,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,402,598,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,402,604,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,404,467,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,404,608,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,404,621,28,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,406,466,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,406,538,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,406,757,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,408,681,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,408,780,14,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,412,444,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,412,445,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,412,616,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,412,828,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,412,842,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,417,453,11,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,417,493,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,419,445,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,420,453,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,448,776,9,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,452,650,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,456,654,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,461,567,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,462,525,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,467,668,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,501,854,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,506,630,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,526,605,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,529,605,9,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,530,640,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,535,617,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,537,679,11,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,550,632,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,554,628,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,561,764,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,570,693,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,572,754,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,574,765,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,595,754,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,607,773,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,608,651,9,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,616,677,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,621,1018,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,639,818,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,642,763,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,645,757,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,650,830,22,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,651,853,83,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,652,854,7,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,655,848,18,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,656,837,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,663,763,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,666,756,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,666,757,5,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,679,720,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,681,781,22,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,682,782,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,683,756,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,698,829,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,741,866,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,759,786,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,773,948,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,775,948,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,780,816,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,835,858,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
M,913,948,26,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,100,619,15,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,102,1191,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1030,1114,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1039,1063,92,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,103,1277,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1050,1084,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1050,1173,6,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1056,1165,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1104,1269,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1135,1236,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,114,1251,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,115,1252,1013,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,116,1253,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1186,1346,9,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1194,1245,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1212,1239,67,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,122,1195,8,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1242,1283,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,1275,1301,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,127,227,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,128,1289,16,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,140,1204,6,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,142,658,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,151,1241,315,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,164,1283,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,165,1211,11,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,166,1226,10,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,166,1299,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,167,1193,128,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,168,1078,5,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,168,1093,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,169,1231,61,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,169,1238,59,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,169,241,42,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,169,634,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,177,1307,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,185,232,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,193,1253,24,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,198,1235,29,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,199,1149,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,199,1241,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,200,241,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,206,1078,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,213,1085,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,216,1255,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,220,1246,9,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,222,1091,26,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,225,1151,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,227,1150,17,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,236,821,140,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,240,1238,5,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,242,1258,31,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,244,1256,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,253,336,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,254,1162,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,255,1163,46,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,261,1324,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,261,743,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,262,334,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,264,1134,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,266,1177,11,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,273,1306,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,280,1225,10,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,291,1017,8,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,296,1074,58,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,299,1072,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,299,1095,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,299,551,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,300,557,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,310,1091,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,313,558,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,314,877,34,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,31,1203,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,320,1028,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,321,1310,8,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,321,647,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,329,1167,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,330,956,24,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,337,972,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,345,881,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,347,911,10,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,347,989,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,351,910,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,351,911,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,354,1003,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,354,1040,25,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,354,495,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,358,701,14,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,361,1249,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,361,900,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,361,907,16,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,362,1250,79,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,365,1346,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,373,923,104,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,377,1071,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,384,862,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,385,862,23,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,387,549,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,390,1135,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,395,1096,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,395,505,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,399,979,30,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,407,873,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,409,882,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,416,956,6,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,420,540,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,423,505,11,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,426,1254,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,426,1273,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,427,647,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,427,770,3,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,427,771,4,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,438,1288,1,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,448,949,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,453,930,2,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
NA,462,760,10,SRR15720520,e11,A549,in vitro,extracellular,bulk,48hpi
